iso3,any_cov,bureau_cov,registry_cov,depth_credit_info_0_8,legal_rights_0_12,lowcov2019_z,lowbureau2019_z,lowregistry2019_z,lowdepth2019_z,lowrights2019_z,lowcov2019_bmedian,gdp_pc_year,gdp_pc,privcredit_gdp_year,privcredit_gdp,acct_own_rate,lgdppc
IRQ,1.3,0,1.3,0,0,1.26596487076416,0.956229552136382,0.610564323069634,2.15998284611368,1.89230732899671,1,2023,5965.31835077761,2023,12.5518993190744,0.28113500743209,8.69371770289459
JOR,22.9,22.9,5,8,11,0.585413338442143,0.276852387843868,0.456582497794045,-0.770343532530054,-1.60093128698856,1,2023,4906.23543006639,2023,74.475322197422,0.393159741500336,8.49826221185831
KAZ,65.4,65.4,0,8,8,-0.753634815432203,-0.984000427982851,0.664666045463761,-0.770343532530054,-0.648229846265308,0,2023,12879.4275257974,2023,26.0459503517965,0.843470231285992,9.4633865519157
KEN,36.4,36.4,0,8,11,0.16006863074088,-0.123653800712854,0.664666045463761,-0.770343532530054,-1.60093128698856,1,2023,1942.58802756191,2023,31.7980848696513,0.45392414331858,7.57177639784922
KGZ,39.2,39.2,0,8,9,0.0718489876620995,-0.206721750932026,0.664666045463761,-0.770343532530054,-0.965796993173059,1,2023,2138.22210211478,2023,19.9450057285295,0.700224925021733,7.66772996931149
KHM,52.2,52.2,0,6,10,-0.337742212346524,-0.592394376949611,0.664666045463761,-0.0377619378691202,-1.28336414008081,0,2023,2429.74853452838,2023,130.129720395297,0.372688784718531,7.79554304724661
LAO,19.8,0,19.8,6,6,0.683085086136507,0.956229552136382,-0.159344803308315,-0.0377619378691202,-0.0130955524498041,1,2023,2066.94979776957,2010,20.9192615607493,0.372529513523257,7.63382927190234
LBN,21.3,0,21.3,6,2,0.635824563058589,0.956229552136382,-0.221769867609229,-0.0377619378691202,1.2571730351812,1,2023,3477.72489842684,2017,106.567725062094,0.214915497571254,8.15413359415124
LBR,3.2,0,3.2,0,10,1.20610154153213,0.956229552136382,0.531492574955142,2.15998284611368,-1.28336414008081,1,2023,799.194470229642,2022,14.787430409394,0.138912283624087,6.68360430817833
LBY,0.6,0,0.6,0,0,1.28801978153386,0.956229552136382,0.639696019743395,2.15998284611368,1.89230732899671,1,2023,6026.51518708812,2023,12.2180075415622,0.330660972578407,8.70392421007635
LKA,48.7,48.7,0,6,2,-0.227467658498048,-0.488559439175646,0.664666045463761,-0.0377619378691202,1.2571730351812,0,2023,3815.41531767474,2019,47.0084929449139,0.812270145589498,8.24680480219031
MAR,31.6,31.6,0,7,2,0.311302304590218,0.0187483996628691,0.664666045463761,-0.404052735199587,1.2571730351812,1,2023,3813.72607421875,2023,80.504808579487,0.426077095547273,8.24636196245335
MDA,18.2,18.2,0,6,8,0.733496310752953,0.416287875711764,0.664666045463761,-0.0377619378691202,-0.648229846265308,1,2023,6799.58594644576,2023,25.5773164144673,0.556867984626211,8.82461699908175
MDG,10.4,0,10.4,6,2,0.979251030758127,0.956229552136382,0.231852266310751,-0.0377619378691202,1.2571730351812,1,2023,514.064076551927,2023,16.9316263532811,0.0949465433958922,6.24234792023782
MEX,100,100,0,8,10,-1.84377754776285,-2.01048295569119,0.664666045463761,-0.770343532530054,-1.28336414008081,0,2023,13830.843848864,2023,33.2256099210698,0.525942103098239,9.53465643862272
MKD,100,100,41.7,7,9,-1.84377754776285,-2.01048295569119,-1.07075074210167,-0.404052735199587,-0.965796993173059,0,2023,8674.35846327485,2023,52.0359306568315,0.843810913422594,9.0681266497202
MLI,3.5,3.5,0,0,6,1.19664943691655,0.852394614362417,0.664666045463761,2.15998284611368,-0.0130955524498041,1,2023,1042.44223444837,2023,23.2297872891936,0.182693582149841,6.94932154153665
MNE,41,0,41,5,12,0.0151363599685979,0.956229552136382,-1.04161904542791,0.328528859461347,-1.91849843389631,0,2023,12258.1600477339,2023,42.3835125156477,0.757086225499796,9.41394712055482
MNG,53.6,0,53.6,7,9,-0.381852033885914,0.956229552136382,-1.56598958555559,-0.404052735199587,-0.965796993173059,0,2023,5838.63108083902,2023,38.6134823960349,0.982148058521302,8.67225164437945
MOZ,7.6,0,7.6,4,1,1.06747067383691,0.956229552136382,0.348379053005792,0.694819656791814,1.57474018208895,1,2023,622.191133245967,2023,18.511862786144,0.252102653358973,6.43324733371263
